WayID,PointID,Rotation,BeautyLabel,Confidence
16790097,173736413,2,0,0.5705968
8363123,1077704848,1,1,0.60997707
8363123,1077704848,2,1,0.62795687
16790097,173736413,1,0,0.57262784
10404239,3686559023,2,1,0.5095437
10803762,3939800061,2,0,0.5221543
10803762,3939800061,1,1,0.50910693
4966949,32894413,2,1,0.53497183
9042937,66562143,1,0,0.5094648
10698897,94934826,2,1,0.5316134
9042937,66562143,2,0,0.5187709
8900973,5176882145,1,1,0.5631107
4966949,32894413,1,1,0.587069
8900973,5176882145,2,1,0.6095704
10695670,94826517,1,1,0.506408
186283254,18130192,2,1,0.59276646
4993955,291446127,1,1,0.51128274
186283254,18130192,1,1,0.60899866
23653384,1430127985,2,0,0.5772533
13871080,5278147909,1,0,0.63859856
13871080,5278147909,2,0,0.67040384
137818347,2144273345,2,1,0.5497903
137818347,2144273345,1,0,0.5320313
25886644,1656263786,2,1,0.56142634
25886644,1656263786,1,1,0.5971528
103849692,28352093,1,1,0.67448485
103849692,28352093,2,1,0.63831663
8072793,60459452,2,1,0.5658876
8072793,60459452,1,1,0.5690568
2955913,629000,2,0,0.5301824
2955913,629000,1,0,0.5056564
208836259,1651335355,2,1,0.5557543
4804758,25947998,2,1,0.62681216
4804758,25947998,1,1,0.510967
208836259,1651335355,1,1,0.5663445
4239781,3371658447,1,0,0.5526248
4287873,918324768,2,0,0.600565
4287873,918324768,1,0,0.60050267
4239781,3371658447,2,0,0.60648316
10617012,92912599,2,1,0.6223026
10617012,92912599,1,1,0.50293267
4009835,947875859,1,1,0.5355686
14008816,132854003,2,0,0.61794025
5930861,4630769163,2,0,0.57454664
5930861,4630769163,1,1,0.6064913
14008816,132854003,1,0,0.55599207
8173185,1784522383,2,0,0.6377336
16786576,30798620,2,0,0.5206313
8173185,1784522383,1,0,0.551719
22793414,245015922,2,0,0.5688306
4999132,622031052,2,1,0.5214818
4999132,622031052,1,1,0.5413774
22793414,245015922,1,1,0.5239025
4342618,26421687,2,1,0.5226176
54518719,686680101,1,1,0.5534446
4342618,26421687,1,1,0.54613894
43586192,550437305,2,1,0.6909241
8143721,26845250,2,1,0.5577329
4302714,2121294967,1,0,0.6048328
4302714,2121294967,2,1,0.5184859
4770477,30482801,1,1,0.544329
16616882,171619126,2,0,0.5130608
5319942,3551158345,2,0,0.6100642
5319942,3551158345,1,0,0.54034686
16616882,171619126,1,1,0.5766107
14370436,139989802,1,0,0.63950676
14370436,139989802,2,0,0.6342878
4287599,251517461,2,1,0.50873953
12894988,118226943,1,1,0.5884839
27050170,128082627,2,1,0.5873103
153730945,1663594128,1,1,0.6209934
153730945,1663594128,2,1,0.6610291
27050170,128082627,1,1,0.5194274
7544093,484928878,2,1,0.57100934
7544093,484928878,1,0,0.5104598
26580554,2910833377,2,0,0.55364144
26580554,2910833377,1,0,0.5275798
34870065,32439586,2,0,0.5803618
34870065,32439586,1,1,0.51979756
4482288,27339980,1,1,0.52553433
23776861,257612012,1,1,0.5071599
23776861,257612012,2,1,0.6216798
4482288,27339980,2,1,0.54292554
4238283,24923603,2,1,0.65192944
4238283,24923603,1,1,0.5055455
15133449,149544415,2,0,0.53926694
15133449,149544415,1,1,0.51439166
3692532,3553308545,2,0,0.6354339
3692532,3553308545,1,0,0.5926161
201783840,469760843,1,0,0.5235238
201783840,469760843,2,0,0.59421045
3040458,2084187583,1,1,0.5850155
3040458,2084187583,2,1,0.56722546
13715484,126621699,1,0,0.508638
13715484,126621699,2,1,0.62292534
4368225,662563885,2,1,0.59639126
4368225,662563885,1,1,0.64206237
4040600,27180207,1,1,0.630458
224184406,699971817,2,1,0.6703569
24759497,269060990,1,1,0.61022586
24759497,269060990,2,1,0.5731415
49797651,32654982,2,0,0.53280926
49797651,32654982,1,1,0.61644256
50132474,32546056,2,1,0.50485146
50132474,32546056,1,0,0.52241385
8045012,5255557290,1,0,0.5823421
8045012,5255557290,2,0,0.5287145
4430804,1570779348,2,1,0.63459563
54499403,686459747,1,1,0.5600181
54499403,686459747,2,1,0.5367456
4430804,1570779348,1,1,0.56824964
10810109,26592999,1,1,0.5480526
10496639,90238263,2,1,0.6242885
243007242,30653522,1,0,0.50804245
243007242,30653522,2,1,0.53386676
10496639,90238263,1,0,0.5697103
24526117,266692313,1,1,0.62962717
24526117,266692313,2,1,0.5846668
4005274,21090170,2,1,0.6841716
279536894,2837600010,1,0,0.53758204
4005274,21090170,1,1,0.6992509
4088332,21540838,1,1,0.64172167
4088332,21540838,2,1,0.5949354
25755645,280882825,1,1,0.6181326
22870707,245804404,1,0,0.571587
22870707,245804404,2,1,0.6075648
4418320,27047551,2,1,0.56014746
11154452,99331136,2,1,0.6606374
11154452,99331136,1,1,0.5888763
51979124,1936671454,2,0,0.5200433
164055647,247854128,2,1,0.53527933
38823526,1448808420,2,0,0.5060066
38823526,1448808420,1,1,0.5455635
164055647,247854128,1,0,0.510991
13870920,130232013,2,0,0.5436806
13870920,130232013,1,0,0.5741148
4610445,1692431892,1,1,0.51693183
3617968,18237764,1,1,0.5771934
