WayID|PointID|Rotation|Top5PlaceIndex
8363123|1077704848|0|[ 92 151  60  79 191]
16790097|173736413|0|[ 67 151 204 120 164]
7995502|1564517311|0|[151  67 120  76  92]
8375945|195712|0|[151  94  13 130 135]
2955913|629000|0|[151 115  67 104  13]
10803762|3939800061|0|[ 92 133 143  60 151]
8143721|26845250|0|[ 67 151 120  42 115]
9042937|66562143|0|[151  92  60 135 148]
4770477|30482801|0|[151  67 135 120 131]
8900973|5176882145|0|[151  67  79  92 135]
16788672|173711301|0|[151 120  67 135  13]
10698897|94934826|0|[ 67 141 131 204 186]
186283254|18130192|0|[133 130  57  94  32]
13871080|5278147909|0|[191 148  92 130  31]
9861996|79476939|0|[151 120  94  92 104]
137818347|2144273345|0|[196  92  31 135   6]
5926771|257453718|0|[ 92  60 151  79  67]
2956560|648845|0|[ 67 151  94 135  13]
25886644|1656263786|0|[ 52 135 151  73  67]
241556135|5399776218|0|[ 67  55  80  41 204]
103849692|28352093|0|[ 79  67 131 186  28]
48606853|177693509|0|[191  92  31  25 148]
267951949|2733421079|0|[151  67 115  92  13]
8072793|60459452|0|[ 67 151   2  92  79]
165463924|2104957142|0|[135 151  60  92 143]
30409870|105665136|0|[135  57  13 130  94]
146468305|10988063|0|[151  60 135  92  67]
208836259|1651335355|0|[ 79  92  67 131  78]
4804758|25947998|0|[ 52  67 151 135  94]
41151622|169655600|0|[ 67 204 135 151  79]
13950288|2309602185|0|[ 87 120 151 140  71]
4287873|918324768|0|[151  92  60 172  13]
4328588|1599210442|0|[135 142  92  38  67]
4009835|947875859|0|[115 151  94 162  56]
5367888|38454164|0|[ 94 151  41 135  67]
5728665|43394052|0|[151 135  94  13 130]
50905237|32581372|0|[151 120  76 148 135]
7953945|417541915|0|[151 120  94 135  76]
15221662|150610495|0|[151  67 115  43  94]
14008816|132854003|0|[135  67  94 151 130]
5930861|4630769163|0|[ 94 135  13 151  57]
4048441|620020028|0|[151  67 204 142 135]
20328506|250525401|0|[151 120 135  67  60]
22793414|245015922|0|[151 120  13  67 104]
4999132|622031052|0|[151  41 135  60   0]
37804508|443418084|0|[151 143  13 130 171]
4342618|26421687|0|[115 151  67 104  71]
17443649|180506092|0|[135  52  67 151  92]
96150424|1114073421|0|[151  67  43 115 204]
13949470|3196248074|0|[142  19 143  67  94]
167907329|251672107|0|[ 92 151  79  67 186]
4302714|2121294967|0|[ 92 148  79  60  31]
33742487|385978915|0|[151 135   2  13  60]
210101127|260449932|0|[149  28 186  78 131]
73984177|1704546662|0|[131 141  67 186 137]
23062383|248859107|0|[151 135  13 120 115]
22753554|3574630294|0|[151  67  80 204  55]
4622223|1305567686|0|[ 94   1  87 140 150]
16616882|171619126|0|[151 135 120  60  13]
5319942|3551158345|0|[135  94 130  32 151]
14370436|139989802|0|[151  92 120 172 135]
5365016|38429086|0|[ 67 151 191  60 135]
16317499|167218443|0|[151  67 120 104 204]
229188853|26385460|0|[151 135 120  60  13]
31982196|358424415|0|[ 67 151 204 135 115]
6008169|2410476714|0|[151  67 204  13  43]
5030919|206348019|0|[135 151  94 120  60]
34700359|403897928|0|[79 67 92 78  2]
153730945|1663594128|0|[115 151  94  13  67]
27050170|128082627|0|[151   2  13  92  60]
25981929|101309699|0|[151 104 115  94  13]
3692542|18292943|0|[ 79  78 131 186  67]
5154070|1613452965|0|[151  92  67  60 120]
4296191|251883625|0|[135 151 120  92  60]
17991267|1452527986|0|[151  43 104 120  67]
549840545|248816858|0|[135  92 151 148  52]
7544093|484928878|0|[ 67 204 164 151 162]
23023389|248230124|0|[164  67  76 151 204]
26580554|2910833377|0|[151 120  67 135 191]
34870065|32439586|0|[ 87 191 120 140 166]
235059617|613187066|0|[151 135 120  67  92]
13857383|1458525491|0|[151 135  52  13 120]
23776861|257612012|0|[151  67  94 115 204]
4482288|27339980|0|[151  92 120  67  79]
285717967|30991121|0|[ 92  79 186 131  53]
51175615|262443441|0|[151   2 135  67  60]
21395107|230081361|0|[ 67 142 204 141 135]
4238283|24923603|0|[135 151  67  28 141]
5027686|4685264446|0|[141  38 204 151  67]
15133449|149544415|0|[ 60 151  92 120 135]
8125015|13032104|0|[151 120  67 135   2]
3692532|3553308545|0|[151  67  94 115  13]
201783840|469760843|0|[ 60  92 120  94 151]
3040458|2084187583|0|[ 60 143 130  32  13]
8139293|26004005|0|[ 67 204  74 151 141]
13715484|126621699|0|[151  60 135  67  94]
36949145|126606935|0|[151  94 120 130  67]
41977085|102963210|0|[79 67 92 78 38]
2937456|18066008|0|[151  60  92 191 135]
4368225|662563885|0|[ 60 130 151  13  94]
4299835|18061621|0|[ 60 151   2  92 130]
7855348|699164023|0|[151  67   2  13  60]
9939917|1945672176|0|[151  60  13 130  94]
5180220|391448075|0|[151 135  67 115  94]
74139434|877050359|0|[ 67 151 131 141  80]
49797651|32654982|0|[151  67  92  79   2]
4275781|25258827|0|[151 135 115  13 104]
4999048|622032932|0|[151 115  13  67 104]
3131449|451019422|0|[ 67 151  57  13   2]
279536894|2837600010|0|[166  32 130  60  94]
395908564|243238214|0|[ 60 151 135 120  92]
50132474|32546056|0|[135 151 120  67 115]
25816466|486492085|0|[ 63  31  67   6 133]
8045012|5255557290|0|[151 135  60  92 120]
4134193|256550912|0|[151  67 204 115 104]
54499403|686459747|0|[151 196   7  67   6]
143208179|1567010291|0|[120 135 151 115 104]
4430804|1570779348|0|[ 92  67  52  79 131]
169262120|26820905|0|[151 120  67 135  13]
25966218|283267055|0|[151  60  13  92 130]
243007242|30653522|0|[151 191 148  60  92]
10496639|90238263|0|[151  67 120 104  43]
24526117|266692313|0|[151  67 135 120  92]
8178828|1961442177|0|[135  94 130  92  60]
77238757|5339772738|0|[ 67 151  92 135  79]
4005274|21090170|0|[141 204 131 186  67]
23064059|248886370|0|[151  94  67  13 115]
4088332|21540838|0|[131  83  78 186  79]
22870707|245804404|0|[ 94 151  13 135 130]
8875007|64637001|0|[ 60 151 135  92  13]
15256987|151183033|0|[151 115  67 104 204]
9950921|81684152|0|[151  67 204 115  43]
4262443|5229553596|0|[ 60 151 143 135  57]
11154452|99331136|0|[ 67 204  57 138 151]
27834786|305603098|0|[170 160 173 199 201]
164055647|247854128|0|[151 120  94  60  92]
